raw_text,cleaned_words
야 아무리 한국계라지만 미국 사람이 끓여주는 김치찌개가 맛있어봤자 얼마나 어머나 국물이 어쩜 이렇게 시원해요?,한국 라지 미국 사람 김치찌개 맛있다 얼마나 어머나 국물 어쩜 시원하다
루미야 엄빠 얘기 좀 풀어봐 그게 더 재밌을 것 같애,루미 엄빠 얘기 그게 재밌다
여기저기 불려다니셔서 바쁘시겠지만 그래도 이건 꼭 보셔야겠습니다.,여기저기 바쁘다 이건
스포일러가 있어요!!보기,스포일러 보기
그니까 태티서가 이런 궂은일을 하고계셧다는거잖아,태티서 궂은일 셧다
요즘 병크 많은 게 다 귀마 때문이었군아,요즘 병크 때문
진우: 아이씨… < 여기서 진짜 범접 불가한 한국인의 얼을 느꼈슴,진우 아이 여기 범접 불가하다 한국인 느꼈슴
기획을 제대로 관철시키는 스타일과 귀에 쏙쏙 꽂히는 수록곡의 파워.,기획 제대로 관철 스타일 쏙쏙 수록 파워
내가 남산타워에 안가는 이유,남산타워 이유
내가 한국 사람이긴한가보다 대자본을 들여 만든 한국스러운 작품이라 너무 좋았다,한국 사람 자본 한국
곡1개낸신인남돌이 올해의가수상이라니ㅈㅉ어이없다욜마소다팝마이리를소다팝🥤🫧,신인 돌이 올해 가수 어이없다 마소
오리엔탈리즘에서 벗어나 케이팝에 대한 애정이 가득 담긴 웰메이드 애니메이션 🌟,오리엔탈리즘 대한 애정 가득 메이드 애니메이션
결점과 두려움을 인정하고 당당히 마주할 때 비로소 그 사슬에서 벗어날 수 있음을 기억하기.,결점 두려움 인정 당당하다 마주 비로소 사슬 기억
남미새로 살지말고 친구에게 돌아와라,남미 새롭다 친구
그러면 한국은... K-pop 공연으로 악귀를 물리치는 무당 걸그룹을 내고 턴을 종료합니다.,한국 공연 악귀 무당 걸그룹 종료
고증 미쳤다.,고증 미치다
머리론 헌터들 응원하면서 마음은 데먼들한테 먼저 반응하는 거 시간이 지나도 변하지를 않네,머리 헌터 응원 마음 데먼들 먼저 반응 시간 변하다
전통 문화와 K-POP의 결합이 창조해낸 기대 이상의 시너지.,전통 문화 결합 창조 기대 이상 시너지
2. 우리나라 요소를 자연스레 녹여서 억지스럽게 나오는 요소가 없음. 특히 무당을 현대 케이팝 그룹과 연결지은 점이 독창작이다.,우리나라 요소 억지 요소 무당 현대 그룹 연결 지은 창작
"이제는 하나의 세계관으로 자리잡은 K-POP의 정체성을 창의적으로 변주한 작품. 무엇보다 인상적인 것은 '케이팝'이라는 장르의 본질을 단순히 음악적 요소에만 한정하지 않고, 시각적 스타일과 문화적 분위기까지 포함해 입체적으로 표현했다는 점이다. 관객은 음악이 흐르는 순간, '아, 케이팝이네'라는 감각을 직관적으로 느끼게 된다. 이는 곧 이 장르가 이제 국제적으로도 충분히 정의되고 통용되는 고유성과 브랜드를 가졌다는 것을 방증한다.",이제 하나 세계관 자리 정체 창의 변주 무엇 인상 장르 본질 단순하다 음악 요소 한정 시각 스타일 문화 분위기 포함 입체 표현 음악 순간 감각 직관 장르 이제 국제 충분하다 정의 통용 고유 성과 브랜드 방증
다 좋은데 영어 가사로 가득한 노래에 한국어 하나 둘 끼워넣는거 할당제 같아서 킹받음,영어 가사 가득하다 노래 한국어 하나 할당
뇌절인 줄 알았는데 2절짜리 구성 완벽한 곡이었다.,뇌절 구성 완벽하다
케이팝을 소재로 한 모든 상상이 한껏 폭주한 집합체.,소재 모든 상상 폭주 집합
고증이 훌륭한가 O,고증 훌륭하다
"유치하다고 생각했는데, 보다보면 빠져드는 그들의 노래...",유치하다 노래
정작 이 모든 IP를 보유하고 있고 케이팝에 애니메이션 강국이라는 대한 민국이 아닌 미국의 메이저 제작사가 이런 속속들이 바닥 끝까지의 한국의 컨텐츠를 제작할 동안 한국의 영화계는 마동석의 건달 액션에나 빠져 있다는 슬픈 현실이 문제 인 것이다.,정작 모든 보유 애니메이션 강국 대한 민국이 미국 메이저 제작사 바닥 한국 컨텐츠 제작 동안 한국 영화계 마동석 건달 액션 슬프다 현실 문제
"내가 가끔 우리나라를 싫어할때가 많지만, 이걸보면 웃음기로 위로받게 되어버린다.",가끔 우리나라 싫어하다 웃음 위로
스타일리쉬한 Kpop과 오글거림,스타 일리
헌트릭스웅니들이 와이리 팬들을 사랑해.............우리 웅니들이 와이리 무리해..........사자보이즈는 대가리박아,트릭 스웅 사랑 우리 웅니들 무리하다 사자 보이즈 대가리 박아
"푸른 빛 아래 새벽 감성, 해가 지기 전 붉은 노을, 배경으로 보이는 한옥의 처맛자락, 익숙한 길거리... 한국에서만 느낄 수 있는 특유의 매력점들을 잘 살려낸 작품이라고 생각한다. 특히 K-POP을 즐겨 듣는 사람이라면 이전 영화 역사에 있어서 한 번도 접하보지 못 했던 'KPOP 뮤지컬 영화'를 맛보는 거 같아 이 부분에서는 기념비적이다. 또한 외국인 감독이, 이런 요소들을 잘 살려내기 위해 열심히 연구하고, 공을 들인 티가 나, 우리나라 관객이라면 굉장히 뿌듯해하며 영화를 관람할 수 있을 것이다. 그리고, 이 감독들은 아마, 우리나라를 좋아하게 됐을지도 모른다.",푸른 아래 새벽 감성 지기 붉다 노을 배경 처맛 자락 익숙하다 길거리 한국 특유 매력 사람 라면 이전 역사 보지 뮤지컬 부분 기념비 또한 외국인 요소 위해 연구 우리나라 라면 굉장하다 뿌듯하다 아마 우리나라 좋아하다
+) 기대 없이 봤다가 푹 빠져버린 영화. 다른 영화들에서는 절대 느낄 수 없을 독자적인 재미와 매력! 속편은 반드시 나와야 합니다!! 🙏,기대 다른 절대 독자 재미 매력 속편 반드시
#설래발치면서비웃은거,발치 면서
일단 기대감 낮추고 시작한게 신의 한수,일단 대감 신의 한수
심형래가 케이팝에 빠졌었더라면,심형래
"하지만 많은 세계인들이 K-Pop의 위상을 알고 찾아 듣는 것, 한국의 음식 문화가 알려지고 드라마 같은 매체들이",세계 위상 한국 음식 문화 매체
정말 취향 아니긴한데 보면서 눈물 두 번 흘림..,취향 눈물
이제 해외나가서 욕하지 맙시다. 다 알아들어요…,이제 해외 맙시 아들
애니 회사 다닐 때 일 없는 동안 TV 방영용 일본 애니에서 일본 글자 지우는 알바를 하곤 했었는데 살다 보니 소니 픽처스에서 제작한 애니에 우리 문화와 한글이 제대로 등장하는 것을 보게 되는구나.,애니 회사 동안 방영 일본 애니 일본 글자 알바 소니 픽처스 제작 애니 우리 문화 한글 제대로 등장
"내용이 쉽고, 캐릭터가 예쁘고, 음악이 듣기 편하고, 품질도 좋습니다.",내용 캐릭터 예쁘다 음악 듣기 편하다 품질
아이돌 뮤비나 뮤지컬 영화같은 걸 볼 때마다 느끼는 거지만.. 분명 나오는 노래는 어렵게 들리는데 캐릭터는 태연하게 입만 벙긋거리고 있는게 그렇게 짜쳐보일 수가 없다. 그리고 이번 작품은 그게 좀 심각하다.,아이돌 뮤비 뮤지컬 거지 분명 노래 어렵다 캐릭터 태연하다 벙긋 거리 수가 이번 그게 심각하다
너무나도 급진적인 절정부의 플롯과 루미에게만 집중되어있는 서사는 음악적 완성도에 가려져 있다. 우리는 국위에 취해 가려져 있는 것들을 마주 보지 않아서는 안된다.,급진 절정 부의 플롯 루미 집중 서사 음악 완성 우리 국위 취해 마주 보지 안되다
내가 한국인이라 눈물나는건가? ㅈㄴ감동이다 ..,한국인 건가 감동
덕질 포인트를 정확히 구사하는 것을 보면 아이돌 시장이 정말 치밀한 설계된 판이라걸 새삼 느낀다.,덕질 포인트 정확하다 구사 아이돌 시장 치밀하다 설계 판이 새삼
팬덤이 좀 더 능동적이었다면 좋았을 듯,팬덤 능동
애니메이션과 케이팝의 반가운 만남.,애니메이션 반갑다 만남
특별한 기획과 각별한 문화가 함께 손잡고 이루어 내는 재미들.,특별하다 기획 각별 문화 재미
재밌게 봤음. K-Pop 아이돌을 주제로 판타지와 엮어서,재밌다 아이돌 주제 판타지 엮어
아니 사자 옵빠들이랑 엮이지 말아주실래요?,사자 옵빠들
케이팝이 왜 인기 있는지 증명할 기세로.,인기 증명 기세
매력적인 시청각적 효과들이 돋보인다,매력 시청각 효과
"십여년 전쯤, 애니메이션으로 '춤'을 구현하는게 굉장히 힘들다는 애니메이터의 인터뷰를 본 적이 있다.",애니메이션 구현 굉장하다 힘들다 애니메이터 인터뷰
난 루진우 응원 하고 있었는데..,진우 응원
남잔데 사자보이즈 입덕했음,사자 보이즈 입덕
넷플 1위에 늘 속아와서,넷플
소재에 휘둘리지 않고 개성을 마음껏 다루는 끝내주는 콘서트.,소재 둘리 개성 마음껏 끝내주다 콘서트
어.. 나 한국인이야,한국인
영어 노래지만 중간중간 우리말 가사를 끼워 놓은 것도 굿,영어 노래 중간 중간 우리말 가사
"케이팝 한류의 선한 영향력을 동경하며 들뜬 기분으로 쓴, K-컬처를 향한 러브레터.",한류 선하다 영향력 동경 들뜨다 기분 컬처 러브레터
핫한 소재들의 힙한 조합! 비주얼과 노래 모두 'Golden'처럼 반짝인다,소재 조합 비주 노래 모두 처럼
낯선 익숙함의 오묘한 거리감을 조율한 코미디와 이야기. 컨셉에 집중해 완성한 감각적인 콘서트.,낯선 익숙하다 오묘하다 거리 조율 코미디 이야기 컨셉 집중 완성 감각 콘서트
강렬한 비트와 유려한 리듬으로 똘똘 뭉친 현장감으로 완성하는 민족 문화의 찬란한 개화.,강렬하다 비트 유려 리듬 똘똘 현장 완성 민족 문화 찬란하다 개화
노래 하나는 진짜 끝내준다,노래 하나
첫 평점은 3.5였지만 몇 주째 OST가 계속 머리속을 떠나지 않는다. 별 반개 올려야겠다.,계속 머리 반개
그냥 소재만 보면 이야기를 따라가는게 그렇게 어렵지 않은 작품이다. 외국에서 만들었지만 영화내내 보이는 모습들에서 한국의 분위기가 느껴지는게 신기했다. 게다가 캐릭터들도 매력있으면서 음악도 굉장히 적절하게 들어갔고 중독성있다. 마무리는 됐지만 뭔가 다른 이야기들도 더 보고 싶은 그런 작품이었다.,소재 이야기 어렵다 외국 내내 모습 한국 분위기 신기하다 게다가 캐릭터 매력 음악 굉장하다 적절하다 중독 마무리 뭔가 다른 이야기 보고
개인적으로 제가 좋아하는 스타일이에요,개인 좋아하다 스타일
그리고 김구쌤 보고 계십니까?,김구 보고 계시다
쫀쫀하게 귀에 붙는다. 마음에도…,쫀쫀하 마음
액션과 댄스 시퀀스가 환상적이었지만 내 눈을 사로잡은 건 주인공들의 병맛 표정 개그!,액션 댄스 시퀀스 환상 주인공 병맛 표정 개그
바이럴 ㅈㄴ 돌리네 ㄹㅇ,바이럴
요즘 'Golden' 자주 들린다 ♪,요즘 자주
트렌디한 콘셉트의 이해와 절로 몸을 반응케 하는 음악의 힘을 업고서 기세등등하게!,트렌디 콘셉트 이해 절로 반응 음악 기세 등등하다
무얼 보여주어야 할지 너무 잘 안다.,무얼
근데 뭔가 떡밥을 다 안 풀고 끝낸 느낌..!?,뭔가 떡밥
"연예 기획사가 투자하고, 문화체육관광부와 서울영상위원회의 제작 지원으로 만들어진 아이돌 세계관 뮤직 비디오를 본 것 같다. 그만큼 노래도 좋고, 스타일리시하고, (고금의 조화가 어우러지는) 한국적이고 서울적인 것들이 매력적으로 나타난다. 다만, 조금 헐거운 이야기는 둘째치더라도, 왠지 모르게 죄다 PPL이고 협찬처럼 느껴진다. 서울과 아이돌을 향한 낭만으로 가득하다. 현실을 닮은 절묘한 디테일들이 빛나면서도 식당의 음식 모형마냥 빛깔 좋은 가짜를 보는 것 같았다. 영화가 너무 착해서 그런 것 같기도 하고. 아무튼 이 영화가 판타지인 건, 악령을 때려잡아서가 아니라, 그런 미묘한 낭만화 때문은 아닐까. 물론 그게 영화가 지향한 바이니 실은 탁월한 걸 테고, <어벤져스 2> 같은 영화가 아니라 확실히 이런 영화야말로 관광객을 후킹할 수 있다는 생각도 들었다. 뭐랄까 문화 연구에 더 쓰일 것 같은 영화. 그 와중에 목소리만으로 존재감을 단번에 과시하는 이병헌이 새삼 감탄스러웠다.",연예 기획사 투자 문화 체육관 광부 영상 위원회 제작 지원 아이돌 세계관 뮤직 비디오 노래 스타일리시 고금 조화 한국 서울 매력 다만 조금 헐겁다 이야기 둘째 협찬 서울 아이돌 낭만 가득하다 현실 절묘하다 디테일 식당 음식 모형 마냥 빛깔 가짜 착하다 판타지 악령 미묘하다 낭만 때문 그게 지향 바이 탁월하다 어벤져스 확실하다 관광객 후킹 문화 연구 와중 목소리 존재 단번 과시 이병헌 새삼 감탄 스럽다
"케이팝처럼 빠른 전개가 장점이지만, 흑화한 루미가 어떠한 계기도 없이 각성하는 클라이맥스에서는 중요한 사건을 생략하고 노래로 때워 버린 느낌이었다. 동료들의 우정을 통해서 또는 그의 희생을 앞당기거나 해서 그럴듯한 개연성을 만들었더라면.",빠르다 전개 장점 흑화 루미 어떠하다 계기 각성 클라이맥스 중요하다 사건 생략 노래 동료 우정 통해 희생 그럴듯하다 개연
"케이팝 사운드의 힘과 판타지가 맞물린, 대중문화의 영리한 신화화.",사운드 판타지 대중문화 영리하다 신화
2025 퇴마록 케이팝ver.🐦‍⬛,퇴마록
"세상에 이런 기획도 있구나 싶었는데, 생각보다 완성도가 높아서 놀랐다",세상 기획 완성 높다
"스파이더버스와 라이엇게임즈의 KDA, TrueDamage, Heartsteel이 한국 배경으로 결합되면 만들어지는 결과물로 보인다.",스파이더 버스 라이엇게임즈 한국 배경 결과물
K-항마력이 밈을 넘어 힙이 됐다.,마력
K컬쳐 애니  그리고  대중적👍👍👍👍👏👏👏👏👏,컬쳐 애니 대중
케이팝과 한국 문화의 적절한 조화로 달달한 마이 리틀 소다 팝.,한국 문화 적절하다 조화로 달달 마이 리틀
한국적인 것을 바라보는 외부의 시선이 점점 정확하게 디테일을 높여간 작품. 한국 문화에 대한 이해도가 높아진 상태에서 여러 문화요소를 구조적으로 매끄럽게 엮어낸다.,한국 외부 시선 점점 정확하다 디테일 한국 문화 대한 이해도 상태 여러 문화 요소 구조 매끄럽다
"이 정도 정성이면 케이팝 박사학위, 이 정도 애정이면 케이팝 찐 덕후",정도 정성 이면 박사학위 정도 애정 이면 덕후
<스파이더맨: 뉴 유니버스>가 준 그 신선함이 느껴진다,스파이더맨 유니버스 신선하다
소니의 원툴.,소니 원툴
홀로 어둠을 밝히랴. 우리 노래 부르리라. 굳건한 이 소리로 이 세상을 고치리라.,홀로 어둠 우리 노래 굳다 소리 세상
아주 좋은 노래를 여러곡 남겼지만 영화로써는 조금 아쉽다. 퇴마라는 주제와 아이돌이 섞이다 보니 유치해진 부분이 있다.,아주 노래 영화로 조금 아쉽다 퇴마 주제 아이돌 유치하다 부분
빛은 어둠을 밝힐 때 비로소 빛난다.,어둠 비로소
온몸에 전율이 돋는 노래와 무대를 보며 눈물이 왈깍 쏟아진다.,온몸 전율 노래 무대 눈물 왈깍
이런식의 한류문화에 현혹되는건 언제나,한류 문화 현혹
이런 건 세계관이 설득이 안되면 노잼 되는데,세계관 설득 안되다 노잼
노래를 진짜 존나 잘뽑음,노래 존나
"아들이 몇 번이나 보고 춤추고 노래 틀어달라도 하다가 다시 넷플릭스를 켜고 한 번 더 보길래 잠깐 봤는데, 어느 순간 몰입해서 보고 있는 나 자신을 발견했다. 애니메이션을 좋아하지도 않고 제목부터 케이팝 머시기라니. 그냥 흔한 애니메이션이겠지 무시했었던 나에게 문화 사대주의가 있지 않았냐 하고 되묻는다. 유튜브에서 케이팝이니 한류니 하는 것들을 접하면 으레 가지는 선입견은 가볍다 소모적이고 일회성이다였는데, 이 애니메이션은 이제껏 보아왔던 디즈니와는 차원이 다른 센스를 가지고 있는 작품이다. 애니메이션을 보고 이렇게까지 집중했던 적이 있었나? 지나가다 잠깐 본 작품에 계속 멍 때리며 감상한 게 언제였나 기억이 나질 않는다.",아들 보고 노래 달라 다시 넷플릭스 잠깐 순간 몰입 보고 자신 발견 애니메이션 좋아하다 제목 시기 흔하다 애니메이션 무시 문화 사대주의 유튜브 한류 으레 선입견 가볍다 소모 애니메이션 이제껏 보아 디즈니 차원 다른 센스 가지 애니메이션 보고 집중 잠깐 계속 감상 언제 기억
각본 13/20 연기 14/20 연출 14/20 재미 28/40,각본 연기 연출 재미
이제 노래뿐 아니라 애니메이션으로도 케이팝이 구현된다.,이제 노래 애니메이션 구현
"세계적인 애니메이션 제작사가 말아주는 K팝 퇴마 스릴러를 보게 되다니...!  힘을 주어야할 부분과 뺄 부분을 정확히 조절했고, 고증도 한국어패치도 완벽해서 보는내내 사이다 그자체였다",세계 애니메이션 제작사 퇴마 스릴러 주어 야하다 부분 부분 정확하다 조절 고증 한국어 패치 완벽하다 사이다 자체
전혀 기대 안 한 음식이 입에 맞을 때.,전혀 기대 음식
이게 뭐야 이거 왜 재밌음?,재밌다
"K-POP도 알리고, 한국 문화도 알리고. 일석이조.",알리 한국 문화 알리 일석이조
노래 스토리 비주얼 모두 훌륭하고 발란스가 잘 잡혀있는 영리한 케이팝 소재 애니메이션,노래 스토리 비주 모두 훌륭하다 발란스 영리하다 소재 애니메이션
"남이 알려주는 K의 참맛, 그래 이게 K-POP이지.",이지
나 사실 아이돌 좋아할지도..?,사실 아이돌 좋아하다
게다가..K-Pop 매니아들만이 아니라 전세계 남녀노소들에게 어필되고 있다니 신기하기도 하고 왠지 내가 뿌듯해지기도..,게다가 매니아 전세계 남녀 노소 어필 신기하다 뿌듯하다 기도
내 항마력은 견디지 못했음,마력
우리가 못 느낀 사이에 케이팝은 단순한 노래를 넘어 사람들을 위로하고 힐링하는 문화로 성장하였고 ..세상은 그걸 변주하며 즐기는 시대가 되다니..,우리 사이 단순하다 노래 사람 위로 힐링 문화 성장하다 세상 변주 시대
"여봐라, 김구 선생님을 예토전생 시키고 BTS는 갓을 쓰고 그래미에 참석하게 하라.",여봐라 김구 선생님 예토전생 그래미 참석 하라
생각보다 훨씬 괜찮은 연출과 내용 그리고 노래까지 뭐하나 크게 빠지는게없었다 이제 후속편이나와서 떡밥만풀어준다면,괜찮다 연출 내용 노래 하나 크게 이제 후속 편이 떡밥
집 나갔던 K-주모의 화려한 귀가 콘서트!,주모 화려하다 귀가 콘서트
"눈과 귀가 동시에 호강하는 가장 힙하고 화려한 판타지 케이팝 콘서트. 소니 애니메이션의 압도적인 비주얼과 K-POP 퍼포먼스의 결합을 통해 마치 정교한 뮤직비디오를 보는 듯이 리듬감 있게 완성되었다. 패션 화보가 살아 숨 쉬는 듯한 비주얼 쇼크의 작화 스타일과 색감이 보는 맛을 확실하게 채워주었고, 너무도 잘 만든 노래와 사운드 디자인은 글로벌한 인기를 누릴 수밖에 없는 요소가 되어주었다. 한국적인 색채가 묻어나는 의상과 소품 디테일에 잘 짜인 성장 서사까지, K-POP 팬들을 넘어 일반 관객에게도 종합 선물 세트 같은 만족감을 안겨주는 작품이다.",귀가 동시 호강 가장 화려하다 판타지 콘서트 소니 애니메이션 압도 비주 퍼포먼스 결합 통해 마치 정교하다 뮤직비디오 듯이 리듬 완성 패션 화보 비주 쇼크 작화 스타일 색감 확실하다 노래 사운드 디자인 글로벌 인기 요소 한국 색채 의상 소품 디테일 성장 서사 일반 종합 선물 세트 만족감
"본인의 결점과 두려움을 더이상 피하지않고, 직시하고 맞서야만 진정한 자아를 찾을 수 있다는 간결한 메시지를.... K-POP에 담았다! 외국계 손에서 창작된 한국적인 아름다움....",본인 결점 두려움 이상 피하 직시 진정하다 자아 간결하다 메시지 외국 창작 한국 아름답다
2025년에 유행을 타기 위한 모든 조건을 완벽히 갖췄다.,유행 모든 조건 완벽하다
가장 이국적이면서도 한국적인 액션과 음악의 호쾌한 조합.,가장 국적 서도 한국 액션 음악 호쾌 조합
"노래와 화려함, 캐릭터 매력으로 확실히 승부하나 허술한 스토리에 발이 걸린다.",노래 화려하다 캐릭터 매력 확실하다 승부 하나 스토리
악령을 쫓는 케이팝 걸그룹이 팬들을 지켜주기 위해 악귀에 맞서 싸우는데 그 대상이 되는 빌런이 저승사자 보이그룹이란 이 정말 뭔가 싶은 해괴한 설정과 이야기로 이렇게 재밌는 작품을 만들 수 있다는 것 하나만으로도 기대 이상의 성공적인 성과를 거뒀다 생각이 드는 작품입니다. 퇴마사로서 악으로부터 세상을 구하면서 아이돌로서 성공가도에 오르는 두 가지의 장르물의 단순하고 쉬운 이야기를 키치하게 풀어내면서도 한 나라의 전통적인 문화와 현대 문화를 시간 여행이라는 키워드 없이 교묘하게 연결지어 한 화면 안에 담아놓은 데서 오는 신선한 매력도 가득합니다.,악령 걸그룹 위해 악귀 대상 빌런 저승사자 보이 그룹 뭔가 해괴 설정 이야기 재밌다 하나 기대 이상 성공 성과 퇴마사 로서 세상 아이돌 로서 가도 가지 장르 물의 단순하다 쉽다 이야기 키치 나라 전통 문화 현대 문화 시간 여행 워드 교묘하다 연결 화면 신선하다 매력 가득하다
